year,gene,method,subtype,region,continent,mismatch
2013,pH1N1 HA protein,current-system,H1N1,NY,North America,13.8
2014,pH1N1 HA protein,current-system,H1N1,NY,North America,12.83333333
2015,pH1N1 HA protein,current-system,H1N1,NY,North America,16
2016,pH1N1 HA protein,current-system,H1N1,NY,North America,16.38461538
2017,pH1N1 HA protein,current-system,H1N1,NY,North America,19.75
2018,pH1N1 HA protein,current-system,H1N1,NY,North America,6.896551724
2019,pH1N1 HA protein,current-system,H1N1,NY,North America,9.75
2013,pH1N1 HA protein,current-system,H1N1,CA,North America,12.42857143
2014,pH1N1 HA protein,current-system,H1N1,CA,North America,13
2015,pH1N1 HA protein,current-system,H1N1,CA,North America,13.4
2016,pH1N1 HA protein,current-system,H1N1,CA,North America,16.49367089
2017,pH1N1 HA protein,current-system,H1N1,CA,North America,18.14583333
2018,pH1N1 HA protein,current-system,H1N1,CA,North America,5.68627451
2019,pH1N1 HA protein,current-system,H1N1,CA,North America,7.965753425
2013,pH1N1 HA protein,current-system,H1N1,CAN,North America,12.66666667
2014,pH1N1 HA protein,current-system,H1N1,CAN,North America,11.66666667
2015,pH1N1 HA protein,current-system,H1N1,CAN,North America,15.5
2016,pH1N1 HA protein,current-system,H1N1,CAN,North America,16.65517241
2017,pH1N1 HA protein,current-system,H1N1,CAN,North America,19.57142857
2018,pH1N1 HA protein,current-system,H1N1,CAN,North America,6.333333333
2019,pH1N1 HA protein,current-system,H1N1,CAN,North America,7.540069686
2013,pH1N1 HA protein,current-system,H1N1,UK,Europe,12.54545455
2014,pH1N1 HA protein,current-system,H1N1,UK,Europe,13.78723404
2015,pH1N1 HA protein,current-system,H1N1,UK,Europe,13.81818182
2016,pH1N1 HA protein,current-system,H1N1,UK,Europe,16.56043956
2017,pH1N1 HA protein,current-system,H1N1,UK,Europe,18.33333333
2018,pH1N1 HA protein,current-system,H1N1,UK,Europe,4.514285714
2019,pH1N1 HA protein,current-system,H1N1,UK,Europe,7.834519573
2013,pH1N1 HA protein,current-system,H1N1,GER,Europe,12.5
