,Branch length stretch,date,numdate
0/98,0.6319080262361253,,2021.6472148620132
0/99,0.5591387572149549,,2017.2884618553046
100/100,1.0440380014203798,,2014.165639433727
14.5/46,0.9983017423071583,,2019.6221478710597
22.8/69,0.8335698347314908,,2021.3585535795028
43.2/64,0.6585869696591186,,2020.287623849288
55.9/85,1.5131903606423056,,2017.5071419032893
67.3/69,0.8084021120626684,,2015.5137485685884
69.9/99,0.7670741647760272,,2019.1150227135038
72.8/98,0.6433798216833271,,2014.2059732719051
73.5/100,1.088175371491921,,2014.8877832399446
74.2/90,1.0455565890460685,,2019.5434708245762
74.2/99,0.3482071544810706,,2019.6892235941145
74.5/93,0.8909651455673872,,2022.309938922613
74.8/96,0.7584731692940881,,2021.9667679366057
74.9/59,0.9597644320569144,,2019.6449746607875
74.9/96,1.1515134207922442,,2018.3881559931237
75.2/99,0.27076826435399015,,2022.514298501356
75.3/100,0.3226788887725014,,2020.6698420307378
75.3/70,0.548603126347237,,2022.278782517409
75.4/100,0.48240941692909617,,2022.4502478857348
75.4/75,0.42771314574912384,,2021.1741635137098
75.6/90,0.9536605979066054,,2017.4996917405988
75.6/98,0.5484070247520304,,2019.3120980002066
75.7/100,0.8884987464865475,,2019.788270182632
75.7/60,0.986207231575206,,2018.9939000647576
75.8/100,0.8847848516858283,,2021.3100848655129
75.9/100,0.7691996587381839,,2021.3725995480145
75.9/90,1.0095773352590756,,2018.5801774628058
75.9/98,0.6065014590950861,,2022.3905907520739
76.1/100,0.255005819758462,,2021.0445644125257
76.2/100,1.5796435312188186,,2021.1372720134889
76.2/59,0.5971225344156684,,2021.775628820259
76.2/94,1.051817102925223,,2021.4148888581728
76.3/100,0.83202636126395,,2022.5403162063826
76.3/89,0.998301018537386,,2021.3021285849663
76.4/100,0.5100152983815381,,2021.5940980331716
76.5/100,0.6668843625356672,,2021.249534486188
76.5/89,0.9978788246585649,,2019.384789012625
76.6/57,0.6408154613534787,,2022.2991739648219
76.7/98,1.6619166896475193,,2022.356306505437
76.8/100,0.5337572895700121,,2020.7878960991875
76.8/86,0.9983012152343155,,2020.2986221967324
76.9/73,1.0171744080331921,,2022.3824059420688
76.9/98,0.8960155324221495,,2019.5103632861837
76/99,1.139825989639261,,2019.1157035931888
77.1/100,0.6258018333838934,,2022.0299251608885
77.3/100,1.0488628106825149,,2019.748158697285
77.3/93,0.9983015972672251,,2019.7145849859576
77.3/99,1.0907531727253328,,2019.553474350818
77.4/100,0.9983006106474472,,2022.4637927138344
77.5/100,1.5681366574801066,,2020.598146045687
77.6/100,0.45010056767926854,,2022.640851679521
77.6/77,0.6486864259219285,,2016.5237421988907
77.7/72,1.1368612981880803,,2022.6413723973658
77.9/100,0.58349206117587,,2019.6212600639756
77.9/86,0.412806165059138,,2020.5195687638486
77/97,0.9983026328669843,,2021.101986441669
78.1/100,0.6041297272295417,,2014.3397362934277
78.2/100,2.0,,2021.6364049884799
78.2/95,1.0929124882353518,,2021.3212947135812
78.2/99,0.6130208823484624,,2022.7175600616729
78.3/49,1.1278412162639855,,2021.3290203761555
78.3/99,1.1531024556711453,,2019.3638913335847
78.6/100,0.9983015134872221,,2020.8570051487982
78.6/99,0.9983008133246701,,2019.8112629939767
78.7/100,0.8748300391671485,,2021.5036858927601
78.8/100,0.33182685664571093,,2020.644352470638
78.9/100,1.0343447385854652,,2021.48132036606
78.9/88,0.9983021723180575,,2019.6473719974947
78/100,0.9669791122164522,,2019.8430913087905
78/84,0.9223630488108648,,2021.252599873169
79.2/100,0.41816984828340575,,2021.7159908285998
79.2/99,0.5636834742736191,,2021.5355904039166
79.3/100,2.0,,2021.928271573882
79.4/100,0.6662978140605315,,2020.8185575755779
79.5/100,0.8022448505360473,,2022.758524671706
79.9/100,0.57493170939945,,2021.6235214163792
79.9/93,1.0817635883215913,,2019.9599796547968
79/44,0.0,,2020.141891250331
80.1/100,1.1701593587667642,,2021.9646302203387
80.3/100,0.39017496245255523,,2020.6711153610404
80.4/100,0.3566618772774289,,2020.5984668948984
80.5/100,0.9663040343624563,,2013.58128476915
80.5/99,0.9983009311039297,,2019.4922104999291
80/99,0.7015683606006288,,2021.4764853536203
81.1/99,0.9983003475516622,,2022.8154252917655
81.2/100,1.9494551126477169,,2022.7748197949672
81.7/53,1.319593117414598,,2018.7756021958987
82.1/100,1.3655575715781756,,2019.9873867439892
82.2/100,0.9983023041024779,,2019.8439891437276
82.3/100,0.512637864371252,,2021.7093716348304
82.3/61,0.4937297254384027,,2018.133308858305
82.3/81,0.8279760368205958,,2019.1858911589643
82.4/52,0.45145206116109293,,2021.3560671527946
82.5/100,0.9219352864612883,,2022.7826204289668
82/100,0.9084169590184854,,2019.4038019519596
83.2/100,0.3877672736974853,,2019.4325063495944
83.3/90,0.717874305554888,,2019.5915508812886
83.4/100,0.8533557133374781,,2019.8568295580424
83.5/100,0.9983025392627932,,2019.6936272724529
83.6/100,0.988478116303811,,2019.7308398037621
83.7/100,0.4471530965829605,,2021.6119666448878
83.7/89,1.1084754180406953,,2019.1087478306129
83.8/100,1.5721527083138105,,2021.0661841595925
83.8/99,0.7326644373753101,,2022.3194859910463
83.9/100,0.8145834848173495,,2019.4923598538965
83.9/90,0.6037338960337346,,2021.932535606956
83/100,0.7617937220499913,,2019.281850284879
83/94,0.34119909924336494,,2016.7582045531528
84.1/100,0.6321120097243089,,2021.2769766934941
84.1/97,1.34026752991254,,2021.9688085996322
84.1/99,0.9983008123238328,,2020.8060715776949
84.2/55,1.374182135515867,,2022.0434924561398
84.3/100,0.9983001725845018,,2022.8859650834725
84.4/100,0.9910711253350996,,2019.8248468918482
84.4/97,0.8364966808109583,,2022.5413024575394
84.5/100,0.998300457064836,,2022.751422367852
84.5/48,0.7295771711411195,,2022.3187886746318
84.6/100,1.562199521176559,,2022.3096676618331
84.6/99,0.9983014443362457,,2019.7033372541596
84.7/76,0.30583926543295636,,2019.0704009640235
84.7/97,0.9693670380002773,,2022.3828896440382
84.8/100,0.5307519961547728,,2022.8113469508469
84.8/97,0.9983017423071583,,2019.8842407508187
84.9/100,0.7527461878996243,,2022.2100039028464
84/100,0.942527802712023,,2020.621176537193
84/98,0.6886783683215778,,2022.116524440086
85.1/100,0.5944442332091661,,2022.817971956283
85.1/99,0.9883326129539426,,2021.6294604914035
85.2/100,0.5255217254668838,,2018.7277706467137
85.2/92,0.4125839817371829,,2022.1574602406215
85.3/100,0.516294461831258,,2019.7433690102155
85.3/93,0.9983021844403492,,2019.1132099691486
85.3/97,0.7640114531353664,,2019.2777699856247
85.4/100,1.116689585127492,,2022.1561283721176
85.5/100,0.4813227708081756,,2022.5601373837703
85.5/75,0.6981326649841306,,2020.5827288602584
85.6/100,0.9983008519630789,,2022.8779797428756
85.6/98,0.3665666094790911,,2020.2230343652204
85.7/100,0.632164404536079,,2022.1964915609296
85.7/82,0.7807137646612538,,2018.863497687295
85.7/96,1.8165118675043233,,2021.6579625931017
85.8/100,0.9878011280204612,,2021.8455939401613
85.9/100,1.6971822130236376,,2019.7795824815903
85.9/99,1.5661357279480712,,2021.4627465029064
85/100,0.6297833739283905,,2022.963992581802
86.1/67,1.0978220964658854,,2019.910946861965
86.1/98,0.875631010677033,,2019.9160407781656
86.2/100,1.1086561632753091,,2022.7090653104813
86.3/100,0.9888264044575193,,2022.8596346704076
86.4/100,0.9979116008086013,,2022.6939451633607
86.4/98,0.9421125003761621,,2021.515607606343
86.5/100,1.3880756238358987,,2019.0023095913011
86.6/100,0.4130610082121701,,2021.336430997928
86.6/99,0.7679801421518654,,2013.9212203627214
86.7/100,1.0601965209084412,,2022.6983486583288
86.7/99,1.2284594950564103,,2021.7659499788085
86.8/100,0.9983008389248422,,2022.9612901134183
86.9/100,1.0927083412252712,,2020.138561887007
86.9/81,0.9983010750144105,,2019.3555109794302
86/100,0.7374691207695394,,2019.573262687415
86/89,0.33912848198489953,,2015.7359953190585
87.2/100,0.35000281108992165,,2022.4544028552195
87.3/100,0.9819830109057376,,2022.8630219804086
87.4/100,1.9007701389924854,,2022.1461980320862
87.5/100,0.85068936861259,,2021.513065260931
87.6/100,1.4131671558257333,,2021.9173804266995
87.7/100,0.44169459109169246,,2015.9506477957304
87.8/74,0.8684449279915744,,2022.5819797198205
87.9/100,1.6649498580767803,,2017.3445093887926
87.9/91,1.2371803335510885,,2021.529834852786
87/100,0.5620971096949311,,2022.1856816873963
88.1/100,0.3979594865233468,,2020.5709332149208
88.2/100,0.9887676747852147,,2021.6854215708443
88.3/100,1.1607560959591836,,2021.8154393222921
88.4/100,1.6603431968178914,,2021.1198808549473
88.4/97,1.0028772848574465,,2021.3804442058095
88.4/99,1.0592278244015494,,2021.7177896411606
88.5/100,0.6479226090687998,,2019.5861735575447
88.7/100,1.05990901078112,,2021.6977604893539
88.9/100,0.8746562394335611,,2021.2650532221676
88/100,0.407838718399303,,2021.229080385552
89.1/100,0.7194441750463137,,2015.7325821365682
89.4/100,0.6503853727475537,,2022.7144394387262
89.5/100,2.0,,2022.1266559099358
89.5/97,0.3771330922780325,,2016.6072326019366
89.6/100,0.6200729668110926,,2019.2026851210776
89.6/99,1.655489573695937,,2021.988731049006
89.7/100,0.8602907175334914,,2022.1559545351795
89.8/100,0.7603942691911905,,2020.7313046204931
89.9/100,0.9991501955765509,,2020.8130515437838
90.1/100,0.5248952556777557,,2021.604892518275
90.2/100,0.40326108396347793,,2019.8676394315758
90.3/100,0.7773541986183651,,2022.7379577029756
90.4/100,1.4428748243856655,,2021.5014339003155
90.5/100,1.439703171001342,,2019.072002500721
90.5/97,0.41635634448159703,,2021.7527731557273
90.6/100,1.0733405525691628,,2022.6430796554175
90.7/100,0.9875753211249972,,2021.714776571597
90.9/100,0.8633471902536237,,2021.8781203999729
90/100,1.0193746058632294,,2019.6054616554036
90/91,0.8838990267098602,,2017.8910972127192
90/99,0.4748016901425088,,2022.2309112998616
91.1/100,0.733763771742961,,2018.9282859390057
91.2/100,0.44686419540884853,,2020.6258770728125
91.3/100,0.812950789956238,,2021.9642515862802
91.4/100,0.5367363644994064,,2019.5928976878372
91.5/100,0.4818921892568534,,2022.595921515693
91.5/99,0.2921177805105514,,2019.2644560551123
91.6/100,1.0109517209607302,,2022.1455924286952
91.7/100,1.0063704017750612,,2022.0721780152955
91.9/100,0.9816391777646238,,2021.6298726126522
92.1/100,1.103624521813496,,2020.9006579711122
92.1/98,0.9983003254278208,,2022.9072407457513
92.2/100,1.775136542889274,,2021.3711482359724
92.2/97,1.4855586035004291,,2021.0851819973202
92.3/100,0.3620135171790229,,2021.1932070601079
92.4/100,0.4990447942601775,,2022.1491953965433
92.5/100,0.724976358428215,,2021.8147874569913
92.5/41,0.6308886551400086,,2021.496376633593
92.6/100,0.4658077180990754,,2019.5181593171403
92.7/100,1.229996256661527,,2021.263464351577
92.9/100,0.5721121462947782,,2020.394915416101
92/100,0.6249934619756864,,2021.3249387672445
93.1/100,1.0983819035598006,,2021.2024739926944
93.2/100,0.7554126567931877,,2019.89932282133
93.4/100,0.6654430480580747,,2019.5503469392656
93.6/100,0.754658932838773,,2020.9164962981454
93.6/91,0.2884740765905049,,2019.9305128299418
93.7/100,0.9991501806126607,,2022.0780180021393
93.7/47,0.7329574749770702,,2022.6260855275643
93.9/100,0.6687427700174791,,2021.8254730460478
93/100,0.421369687338498,,2021.9231030328153
94.1/100,1.2492889084384466,,2019.7575495749845
94.2/100,0.4478338938148391,,2020.5847825391872
94.3/100,0.9138147520350465,,2019.7151947146776
94.3/99,0.5869047753036722,,2019.2471442902217
94.5/100,1.0708469165120962,,2023.0862792761484
94.6/100,0.6837719320604262,,2021.0795603709894
94.6/99,0.5009604783000051,,2021.7990381495674
94.8/100,0.40133610628325483,,2019.8667069051282
94/100,0.8915987221665859,,2019.700369709045
95.1/100,0.39292375823602854,,2019.6121754787102
95.1/99,0.6294433657272498,,2014.6183347808449
95.2/100,1.5420799060794,,2022.6938931354987
95.4/100,1.569748878781807,,2021.8298553540942
95.5/100,0.9857542387243293,,2022.81433540008
95.6/100,0.324815871637991,,2021.6435744978223
95.7/100,0.9994334982072547,,2021.3028739382664
95.7/99,0.9166993743426468,,2018.1159222437261
95.8/100,0.844923286654538,,2016.221958250421
95.9/100,1.0050742185378845,,2022.161459250057
95/100,0.5857303485157856,,2021.0330612129003
96.1/100,0.867522682491862,,2021.66072720393
96.2/100,0.9994340630401777,,2021.4526371384118
96.2/99,0.4336439921708959,,2019.5654378340453
96.3/100,0.3709369496461121,,2020.871973693431
96.5/100,0.7667783836305005,,2021.2769766934941
96.6/100,0.5969774211435247,,2019.4664506413474
96.7/100,0.8268898737541716,,2020.690555990186
96.8/100,0.6455083263788303,,2021.63056740067
96.9/100,1.0142517417253247,,2021.3256211243945
96/100,0.6170758679352962,,2022.8017605099974
97.2/100,0.5748650454807946,,2019.9009401004319
97.3/100,1.0370017195241386,,2021.4967290537581
97.4/100,0.6719213969635993,,2019.4581489567847
97.7/100,0.6822922515629186,,2020.9022330004345
97.8/100,0.6926463809529513,,2021.0785690624482
97/100,0.9430948953817675,,2015.3846981099493
97/99,0.427901731760833,,2021.0486413777967
98.1/100,0.7659933482384775,,2018.023014771214
98.2/100,1.1358026713123108,,2020.8493110718287
98.3/100,0.41877821695775497,,2022.6892466275906
98.4/100,0.6294607061827048,,2018.4835338209753
98.9/100,0.6669046726212445,,2021.4707077764476
98/100,0.999575378738424,,2020.9033604394956
99.3/100,0.7313319582698425,,2015.7549346138733
99.4/100,0.9518390789582177,,2018.024027493064
99.7/100,0.8136977422823105,,2021.9160343463316
99.8/100,0.7963281340548032,,2021.378115815966
99.9/100,0.9536903820592881,,2017.0050457506095
99/100,0.33244121062488147,,2015.6609105103398
A.AbuDhabi_390121_2021_EPIISL1040050_2021-01-15,1.000000429657844e-06,2021-01-15,2021.079696501885
A_ABUDHABI_UAE_0003750_2022_EPIISL17813930_2022-10-05_HA_4,9.999999959770235e-07,2022-10-05,2022.7775222637263
A_ABUDHABI_UAE_0003999_2022_EPIISL17813942_2022-10-11_HA_4,2.0,2022-10-11,2022.7937370736506
A_ABUDHABI_UAE_0004269_2022_EPIISL17813972_2022-10-16_HA_4,2.0,2022-10-16,2022.8072494155674
A_ABUDHABI_UAE_0004535_2022_EPIISL17813904_2022-10-21_HA_4,0.7739381719713527,2022-10-21,2022.820761757484
A_Aberdare_6417_2019_EPIISL398668_2019-11-19,0.6345637466536449,2019-11-19,2019.937903609543
A_Abergele_9987_2022_EPIISL11403528_2022-03-15,1.0000004296577881e-06,2022-03-15,2022.2262187135223
A_Aberystwyth_9599_2019_EPIISL413643_2019-12-11,2.0,2019-12-11,2019.9973579139767
A_AbuDhabi_01_2021_EPIISL956319_2021-01-01,1.0000004296577424e-06,2021-01-01,2021.0418619445181
A_AbuDhabi_097_2019_EPIISL404587_2019-11-26,0.8372290861073359,2019-11-26,2019.9568208882263
A_AbuDhabi_1541032_2021_EPIISL2800343_2021-06-02,1.0000004296578089e-06,2021-06-02,2021.4526371387876
A_AbuDhabi_2210332924_2021_EPIISL3534316_2021-02-07,1.000000429657756e-06,2021-02-07,2021.141853274702
A_AbuDhabi_2210383196_2021_2021_EPIISL3794366_2021-02-07,1.0000004296576856e-06,2021-02-07,2021.141853274702
A_AbuDhabi_2210622842_2021_EPIISL3534317_2021-03-03,1.000000429657756e-06,2021-03-03,2021.2067125159026
A_AbuDhabi_2210622842_2021_EPIISL3534325_2021-03-03,1.000000429657756e-06,2021-03-03,2021.2067125159026
A_AbuDhabi_2211541032_2021_EPIISL3534318_2021-06-03,2.0,2021-06-03,2021.4553396067954
A_AbuDhabi_2375_2021_EPIISL1064139_2021-01-17,1.0000004296577424e-06,2021-01-17,2021.085101438652
A_AbuDhabi_2375_2021_EPIISL956338_2021-01-17,1.0000004296577424e-06,2021-01-17,2021.085101438652
A_AbuDhabi_240_2018_EPIISL338293_2018-01-01,0.9995962671966703,2018-01-01,2018.0806322130838
A_AbuDhabi_3201980_2021_EPIISL8808396_2021-11-16,0.9982817012342639,2021-11-16,2021.9039493584316
A_AbuDhabi_3550471_2021_EPIISL8808401_2021-12-20,1.0000004296578684e-06,2021-12-20,2021.9958332838414
A_AbuDhabi_383196_2021_EPIISL2800340_2021-02-07,1.0000004296576856e-06,2021-02-07,2021.141853274702
A_AbuDhabi_390121_2021_EPIISL1064136_2021-01-15,1.000000429657844e-06,2021-01-15,2021.079696501885
A_AbuDhabi_390121_2021_EPIISL1296360_2021-01-15,2.0,2021-01-15,2021.0796965015093
A_AbuDhabi_413000_2020_EPIISL3372559_2021-02-10,1.8030853440236365,2021-02-10,2021.1499606794764
A_AbuDhabi_7700_2022_EPIISL16836805_2022-11-23_HA_4,0.5987353431594782,2022-11-23,2022.9099432141347
A_AlBuraymi_6055_2019_EPIISL401529_2019-10-07,0.49885345220611294,2019-10-07,2019.8216974690588
A_Alabama_08_2022_EPIISL10826002_2022-01-13,1.5346090881561485,2022-01-13,2022.0613681417622
A_Alabama_USAFSAM-13539_2022_EPIISL16880845_2022-11-07_HA_4,0.6129450557806666,2022-11-07,2022.8667037200012
A_Alaska_01_2021_EPIISL11105867_2021-08-20,0.490794964569283,2021-08-20,2021.6661321406968
A_Alaska_01_2021_EPIISL5069995_2021-08-20,1.0000004296578694e-06,2021-08-20,2021.6661321410727
A_Alaska_01_2021_EPIISL9401965_2021-08-20,1.0000004296578694e-06,2021-08-20,2021.6661321410727
A_Alaska_03_2022_EPIISL11533828_2022-02-08,1.0000004296577352e-06,2022-02-08,2022.1316323201052
A_Alaska_05_2021_EPIISL11958759_2021-12-22,1.2883911889459836,2021-12-22,2022.0012382202324
A_Alaska_10_2022_EPIISL12716196_2022-04-08,2.0,2022-04-08,2022.291077954347
A_Alaska_232_2015_EPIISL240112_2015-09-09,2.0,2015-09-09,2015.797722046247
