"theta=0.5,h=0","theta=0.5,h=1","theta=0.5,h=2","theta=0.5,h=3","theta=0.5,h=4","theta=0.5,h=5","theta=0.5,h=6","theta=0.5,h=7","theta=0.5,h=8","theta=0.5,h=9","theta=0.6,h=0","theta=0.6,h=1","theta=0.6,h=2","theta=0.6,h=3","theta=0.6,h=4","theta=0.6,h=5","theta=0.6,h=6","theta=0.6,h=7","theta=0.6,h=8","theta=0.6,h=9","theta=0.7,h=0","theta=0.7,h=1","theta=0.7,h=2","theta=0.7,h=3","theta=0.7,h=4","theta=0.7,h=5","theta=0.7,h=6","theta=0.7,h=7","theta=0.7,h=8","theta=0.7,h=9","theta=0.8,h=0","theta=0.8,h=1","theta=0.8,h=2","theta=0.8,h=3","theta=0.8,h=4","theta=0.8,h=5","theta=0.8,h=6","theta=0.8,h=7","theta=0.8,h=8","theta=0.8,h=9","theta=0.9,h=0","theta=0.9,h=1","theta=0.9,h=2","theta=0.9,h=3","theta=0.9,h=4","theta=0.9,h=5","theta=0.9,h=6","theta=0.9,h=7","theta=0.9,h=8","theta=0.9,h=9","theta=1,h=0","theta=1,h=1","theta=1,h=2","theta=1,h=3","theta=1,h=4","theta=1,h=5","theta=1,h=6","theta=1,h=7","theta=1,h=8","theta=1,h=9"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
4.0666666,4.0666666,4.0666666,4.0666666,4.0666666,4.0666666,4.0666666,4.0666666,4.0666666,4.0666666,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.1333333,2.1333333,2.1333333,2.1333333,2.1333333,2.1333333,2.1333333,2.1333333,2.1333333,2.1333333,2.1333333,2.1333333,2.1333333,2.1333333,2.1333333,2.1333333,2.1333333,2.1333333,2.1333333,2.1333333
3.08333328,5.08333328,5.08333328,5.08333328,5.08333328,5.08333328,5.08333328,5.08333328,5.08333328,5.08333328,1.33333338,3.33333338,3.33333338,3.33333338,3.33333338,3.33333338,3.33333338,3.33333338,3.33333338,3.33333338,1.33333338,3.33333338,3.33333338,3.33333338,3.33333338,3.33333338,3.33333338,3.33333338,3.33333338,3.33333338,1.33333338,3.33333338,3.33333338,3.33333338,3.33333338,3.33333338,3.33333338,3.33333338,3.33333338,3.33333338,1.33333338,3.33333338,3.33333338,3.33333338,3.33333338,3.33333338,3.33333338,3.33333338,3.33333338,3.33333338,1.33333338,3.33333338,3.33333338,3.33333338,3.33333338,3.33333338,3.33333338,3.33333338,3.33333338,3.33333338
6.3333333,7.3333333,9.3333333,9.3333333,9.3333333,9.3333333,9.3333333,9.3333333,9.3333333,9.3333333,6.3333333,7.3333333,9.3333333,9.3333333,9.3333333,9.3333333,9.3333333,9.3333333,9.3333333,9.3333333,7.3333333,7.3333333,9.3333333,9.3333333,9.3333333,9.3333333,9.3333333,9.3333333,9.3333333,9.3333333,7.3333333,7.3333333,9.3333333,9.3333333,9.3333333,9.3333333,9.3333333,9.3333333,9.3333333,9.3333333,7.3333333,7.3333333,9.3333333,9.3333333,9.3333333,9.3333333,9.3333333,9.3333333,9.3333333,9.3333333,7.3333333,7.3333333,9.3333333,9.3333333,9.3333333,9.3333333,9.3333333,9.3333333,9.3333333,9.3333333
1.2222222,7.8888889,8.8888889,10.8888889,10.8888889,10.8888889,10.8888889,10.8888889,10.8888889,10.8888889,1.2222222,7.8888889,8.8888889,10.8888889,10.8888889,10.8888889,10.8888889,10.8888889,10.8888889,10.8888889,2.2222222,8.2222222,8.2222222,10.2222222,10.2222222,10.2222222,10.2222222,10.2222222,10.2222222,10.2222222,2.2222222,8.2222222,8.2222222,10.2222222,10.2222222,10.2222222,10.2222222,10.2222222,10.2222222,10.2222222,5.2222222,8.2222222,8.2222222,10.2222222,10.2222222,10.2222222,10.2222222,10.2222222,10.2222222,10.2222222,5.2222222,8.2222222,8.2222222,10.2222222,10.2222222,10.2222222,10.2222222,10.2222222,10.2222222,10.2222222
3.7692309,4.7692309,11.69230782,12.69230782,14.69230782,14.69230782,14.69230782,14.69230782,14.69230782,14.69230782,3.7692309,4.7692309,11.69230782,12.69230782,14.69230782,14.69230782,14.69230782,14.69230782,14.69230782,14.69230782,3.7692309,5.7692309,11.7692309,11.7692309,13.7692309,13.7692309,13.7692309,13.7692309,13.7692309,13.7692309,3.7692309,5.7692309,11.7692309,11.7692309,13.7692309,13.7692309,13.7692309,13.7692309,13.7692309,13.7692309,3.7692309,8.7692309,11.7692309,11.7692309,13.7692309,13.7692309,13.7692309,13.7692309,13.7692309,13.7692309,3.7692309,8.7692309,11.7692309,11.7692309,13.7692309,13.7692309,13.7692309,13.7692309,13.7692309,13.7692309
1.16666667,5.83333334,6.83333334,13.75000001,14.75000001,16.75000001,16.75000001,16.75000001,16.75000001,16.75000001,4.58333334,5.33333334,6.33333334,13.25000001,14.25000001,16.25000001,16.25000001,16.25000001,16.25000001,16.25000001,4.58333334,5.33333334,7.25000001,13.25000001,13.25000001,15.25000001,15.25000001,15.25000001,15.25000001,15.25000001,5.33333334,5.33333334,7.25000001,13.25000001,13.25000001,15.25000001,15.25000001,15.25000001,15.25000001,15.25000001,5.33333334,5.33333334,10.25000001,13.25000001,13.25000001,15.25000001,15.25000001,15.25000001,15.25000001,15.25000001,5.33333334,5.33333334,9.33333334,12.33333334,12.33333334,14.33333334,14.33333334,14.33333334,14.33333334,14.33333334
2.61111114,3.33333334,9.33333334,10.33333334,16.88888894,17.88888894,19.88888894,19.88888894,19.88888894,19.88888894,2.61111114,8.33333334,9.33333334,10.33333334,16.33333334,17.33333334,19.33333334,19.33333334,19.33333334,19.33333334,3.33333334,8.33333334,9.33333334,11.33333334,17.33333334,17.33333334,19.33333334,19.33333334,19.33333334,19.33333334,8.33333334,9.33333334,9.33333334,11.33333334,17.33333334,17.33333334,19.33333334,19.33333334,19.33333334,19.33333334,8.33333334,9.33333334,9.33333334,14.33333334,17.33333334,17.33333334,19.33333334,19.33333334,19.33333334,19.33333334,8.66666664,8.66666664,8.66666664,12.66666664,15.66666664,15.66666664,17.66666664,17.66666664,17.66666664,17.66666664
2.94736845,4.68421065,5.31578955,10.57894745,11.57894745,18.57894745,19.57894745,21.57894745,21.57894745,21.57894745,2.94736845,2.94736845,7.31578945,8.31578945,9.31578945,15.31578945,16.31578945,18.31578945,18.31578945,18.31578945,3.26315795,3.26315795,7.00000005,8.00000005,10.00000005,16.00000005,16.00000005,18.00000005,18.00000005,18.00000005,3.52631575,7.42105255,8.26315785,8.26315785,10.26315785,16.26315785,16.26315785,18.26315785,18.26315785,18.26315785,3.52631575,6.52631575,6.52631575,6.52631575,11.52631575,14.52631575,14.52631575,16.52631575,16.52631575,16.52631575,4.10526315,7.10526315,7.10526315,7.10526315,11.10526315,14.10526315,14.10526315,16.10526315,16.10526315,16.10526315
